Price,Close,High,Low,Open,Volume
Ticker,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS
Date,,,,,
2021-06-24,1504.172119140625,1514.641994679887,1483.7808388021951,1505.6179104080095,7261764
2021-06-25,1515.0906982421875,1529.5990034492527,1496.6936793854811,1520.6248241591331,4962963
2021-06-28,1521.3726806640625,1560.5100738910423,1513.8442926419166,1520.5251436260965,6178022
2021-06-29,1519.178955078125,1544.2567018789491,1508.6591745385476,1521.6218772940013,5551918
2021-06-30,1503.2249755859375,1534.5846986805507,1498.3887925772385,1534.5846986805507,3256147
2021-07-01,1486.9305419921875,1519.1586440625636,1479.5969381125517,1506.1876009181929,3759914
2021-07-02,1418.8826904296875,1504.3418231604148,1408.4060772740613,1486.9307385878146,6653653
2021-07-05,1391.2442626953125,1440.7337615098158,1347.5917094922745,1423.8215639025207,12239845
2021-07-06,1411.648681640625,1440.933282228808,1375.6789317502044,1397.7796185492457,9485434
2021-07-07,1422.474609375,1433.8990575506803,1381.9151266062588,1416.8371695168862,5549751
2021-07-08,1422.7239990234375,1441.7814316495724,1408.6554294825953,1416.8371162231092,3898830
2021-07-09,1428.161865234375,1453.355624770652,1413.2950283166504,1422.7240529845267,4502324
2021-07-12,1417.53564453125,1443.7771156005126,1411.0003063406562,1438.7882520358944,2557189
2021-07-13,1414.542236328125,1429.8082065832384,1382.114625222783,1429.8082065832384,4157955
2021-07-14,1398.92724609375,1445.7726250814717,1394.6867121692528,1445.7726250814717,3859529
2021-07-15,1404.8138427734375,1425.817004114644,1390.2963249428485,1395.8838269813764,2728305
2021-07-16,1392.3917236328125,1411.8482901758723,1385.1578719693673,1405.8616543164692,2134914
2021-07-19,1377.5250244140625,1409.503689541662,1329.7816230285482,1386.904112556505,6190302
2021-07-20,1362.657958984375,1379.81972037894,1333.1239150801405,1337.015252488109,4529933
2021-07-22,1413.5943603515625,1421.7262315698058,1337.5141980245417,1371.937353438079,5009804
2021-07-23,1398.52783203125,1431.653829910325,1383.1121740140834,1426.8146577036673,4694140
2021-07-26,1400.77294921875,1413.6442398585675,1388.899431158788,1396.6821060010247,2054318
2021-07-27,1393.638916015625,1421.4268593030047,1375.0803695230509,1400.7730146545362,2978042
2021-07-28,1396.781982421875,1421.6265462170536,1375.5293758721439,1403.7164537457468,3188606
2021-07-29,1397.1312255859375,1421.8260999535519,1393.8884643053418,1410.8006628801559,2538248
2021-07-30,1417.0865478515625,1446.2713966631509,1397.1310956726988,1406.3604923054233,4403219
2021-08-02,1434.9967041015625,1441.7816074442014,1420.928132845357,1431.8038800570441,2483790
2021-08-03,1439.58642578125,1463.7324751523297,1419.0322117861836,1463.7324751523297,4442122
2021-08-04,1426.3658447265625,1456.7479711591125,1419.8803229371556,1456.7479711591125,3341801
2021-08-05,1429.15966796875,1434.7971079472816,1404.2652884243605,1424.81938118826,2104359
2021-08-06,1533.227294921875,1551.5363978291798,1418.8326416161374,1418.8326416161374,14250256
2021-08-09,1490.0738525390625,1561.5143572390007,1479.1981051800758,1543.2550671538302,6031426
2021-08-10,1443.2781982421875,1495.3120684631444,1422.8737954205596,1484.685764939077,3581449
2021-08-11,1433.8492431640625,1453.3556254981095,1403.86612614988,1451.7592136091512,3197412
2021-08-12,1439.686279296875,1454.752622980402,1427.064430053306,1440.3846714801693,2455443
2021-08-13,1433.7991943359375,1450.7613281589793,1424.8192411355037,1441.7813749585453,2095991
2021-08-16,1426.91455078125,1446.4708691058293,1410.4014875631271,1428.3114567612367,1909352
2021-08-17,1438.43896484375,1447.768114759047,1413.0455778290557,1427.8126617644357,3062815
2021-08-18,1456.748046875,1493.4661285566956,1429.409052320539,1438.688386543973,4738820
2021-08-20,1426.91455078125,1479.3475488913257,1407.8571187496368,1434.7969785697928,4933377
2021-08-23,1393.589111328125,1424.5700030484804,1358.5174976079431,1411.8983382054523,4866080
