Price,Close,High,Low,Open,Volume
Ticker,^CNXPHARMA,^CNXPHARMA,^CNXPHARMA,^CNXPHARMA,^CNXPHARMA
Date,,,,,
2021-06-24,13967.9501953125,14058.650390625,13900.0498046875,14019.25,13421400
2021-06-25,14069.599609375,14133.4501953125,13968.9501953125,13982.900390625,12300200
2021-06-28,14247.599609375,14308.900390625,14095.0,14120.349609375,17630900
2021-06-29,14330.2001953125,14353.25,14205.599609375,14241.7998046875,18793500
2021-06-30,14308.900390625,14422.4501953125,14288.150390625,14379.2001953125,18359900
2021-07-01,14442.4501953125,14465.349609375,14294.400390625,14327.400390625,17441100
2021-07-02,14529.650390625,14575.2998046875,14461.0498046875,14489.9501953125,21574100
2021-07-05,14528.5,14597.900390625,14500.599609375,14575.349609375,9775800
2021-07-06,14406.9501953125,14539.650390625,14377.0498046875,14519.349609375,12969800
2021-07-07,14453.2001953125,14471.400390625,14320.2001953125,14354.0,12764700
2021-07-08,14269.2998046875,14484.2998046875,14240.2998046875,14424.150390625,10632300
2021-07-09,14360.2001953125,14390.5,14243.849609375,14260.4501953125,10096100
2021-07-12,14372.2001953125,14447.849609375,14322.7998046875,14409.150390625,9436700
2021-07-13,14460.0498046875,14519.9501953125,14372.7001953125,14405.5498046875,17358400
2021-07-14,14507.0,14547.5498046875,14424.0498046875,14457.0,14913000
2021-07-15,14467.4501953125,14564.2001953125,14444.2998046875,14530.599609375,10082100
2021-07-16,14635.0498046875,14715.150390625,14478.150390625,14486.099609375,18476200
2021-07-19,14669.900390625,14707.0,14549.849609375,14556.75,11750300
2021-07-20,14479.2001953125,14689.400390625,14453.9501953125,14680.599609375,13477600
2021-07-22,14575.400390625,14590.5498046875,14457.650390625,14549.5,11598500
2021-07-23,14597.849609375,14630.0498046875,14500.0498046875,14557.150390625,15190200
2021-07-26,14652.5498046875,14711.2001953125,14591.849609375,14604.650390625,14243400
2021-07-27,14018.650390625,14713.150390625,13866.7998046875,14702.9501953125,32649700
2021-07-28,13964.75,14092.0,13794.900390625,14075.0,24488700
2021-07-29,13920.349609375,14072.599609375,13834.849609375,14032.150390625,24202900
2021-07-30,14425.2998046875,14479.099609375,13903.7998046875,13962.349609375,53619400
2021-08-02,14474.9501953125,14588.650390625,14381.650390625,14516.0,28923300
2021-08-03,14647.849609375,14690.400390625,14457.9501953125,14498.7001953125,24136600
2021-08-04,14594.349609375,14743.2998046875,14562.349609375,14654.650390625,15100500
2021-08-05,14579.849609375,14689.5498046875,14540.5,14640.2998046875,15501200
2021-08-06,14517.5,14612.5498046875,14490.25,14599.2998046875,18703300
2021-08-09,14533.4501953125,14595.349609375,14409.349609375,14589.75,12652300
