Price,Close,High,Low,Open,Volume
Ticker,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS
Date,,,,,
2021-06-24,2283.300048828125,2296.7332482317547,2268.5834569506005,2283.1625984567713,759681
2021-06-25,2245.246826171875,2283.116185717041,2241.9001118680876,2281.328211995011,1112942
2021-06-28,2255.83740234375,2260.238723331665,2234.839736608311,2246.576517955923,694906
2021-06-29,2285.50048828125,2290.03926006062,2241.9002966359226,2251.0696230025314,1354397
2021-06-30,2266.015625,2296.9162094731064,2258.405039493917,2285.500443144233,1447245
2021-07-01,2272.159423828125,2277.6610204959898,2258.405432158463,2277.6610204959898,735043
2021-07-02,2280.686767578125,2285.638114653202,2248.3189982391996,2272.1592486283594,860231
2021-07-05,2291.460693359375,2304.618543199933,2278.623635645355,2291.414801952578,761700
2021-07-06,2267.11572265625,2290.451611207349,2263.9064587414687,2283.1620422301567,461782
2021-07-07,2275.506103515625,2283.8961726198904,2242.680089663253,2253.8207331981093,623145
2021-07-08,2244.238525390625,2264.5943852046325,2235.8943488313953,2257.671499007976,1114426
2021-07-09,2247.814697265625,2259.7807141699764,2235.894571769902,2237.3158622741903,538094
2021-07-12,2241.12109375,2255.5627845778477,2228.1465848679254,2249.2360381403378,543898
2021-07-13,2234.289794921875,2251.5740653165067,2228.1463907975403,2251.069707575293,994396
2021-07-14,2214.2548828125,2238.5535978555085,2208.890737305972,2237.132307486552,1377829
2021-07-15,2211.962646484375,2223.561755375425,2201.555370992328,2223.561755375425,693792
2021-07-16,2216.593017578125,2228.146459132651,2206.1400743510944,2218.977132140336,545405
2021-07-19,2208.56982421875,2216.226301689772,2199.2630470016206,2200.684337436786,463873
2021-07-20,2232.6396484375,2255.6547519138503,2203.38958083292,2203.38958083292,1061476
2021-07-22,2180.603515625,2299.667321979012,2178.173733397585,2246.485222826387,3546044
2021-07-23,2162.218994140625,2193.0736885918695,2159.1012887816864,2184.1335951607957,1517589
2021-07-26,2153.599853515625,2163.961238114295,2143.7887180979756,2161.439673112255,1311535
2021-07-27,2147.822998046875,2163.4567448525454,2138.2869878169404,2153.599718643698,1656945
2021-07-28,2165.244873046875,2171.7092936071863,2148.4651830680446,2154.7919294016497,912373
2021-07-29,2140.80859375,2174.4140872279304,2136.4531634811005,2165.2447603460373,1012663
2021-07-30,2139.47900390625,2160.7976880873966,2125.449889543974,2145.6224079089297,1708251
2021-08-02,2139.020751953125,2157.90943218067,2131.5019482174794,2147.4564884336182,1229936
2021-08-03,2188.5810546875,2194.2201016351596,2132.8773893409325,2136.4533375720525,1733476
2021-08-04,2179.640625,2195.8243962318684,2170.883873689006,2188.580718063268,1588974
2021-08-05,2161.851806640625,2192.3857050209176,2158.4592010118113,2192.3857050209176,921757
2021-08-06,2174.505859375,2182.9874866991486,2161.6688018033155,2161.85214356795,1432661
2021-08-09,2186.426025390625,2196.0538187504912,2177.5777143707664,2181.7954704787753,921476
2021-08-10,2183.9501953125,2195.1367286899463,2163.1358692653607,2195.1367286899463,1061370
2021-08-11,2191.8818359375,2196.0539247001643,2165.978485886235,2191.469260974277,1300594
2021-08-12,2193.577880859375,2213.016807004406,2179.9613423472815,2196.0535540814385,1226064
2021-08-13,2204.7646484375,2209.486762236795,2189.635259084529,2201.555384029294,1033159
2021-08-16,2224.845458984375,2234.4275849826727,2193.89897972999,2204.3062556308605,1146309
2021-08-17,2277.477294921875,2280.8240094533026,2229.1090990343637,2230.89707287801,1921902
