Price,Close,High,Low,Open,Volume
Ticker,MA,MA,MA,MA,MA
Date,,,,,
2021-06-25,368.72991943359375,368.7687812868509,362.62991276019534,364.6891759821054,3983900
2021-06-28,357.14190673828125,370.00245490734244,354.6552813370244,370.00245490734244,4800300
2021-06-29,357.4527587890625,360.74561229020196,357.3653418345519,358.4338206834281,3394300
2021-06-30,354.6261291503906,359.56054755313926,353.8296241073066,357.40417392607753,2884900
2021-07-01,360.0850830078125,360.57075252213343,355.1215548000516,355.5586395771916,3108500
2021-07-02,364.28118896484375,364.7279965128131,361.48372847808173,362.00825973007653,2786500
2021-07-06,365.3399658203125,367.3991994524176,360.8523850479119,365.8547742283388,2740500
2021-07-07,363.2030029296875,367.3117469214847,361.7751337638321,365.99074043376066,3176600
2021-07-08,360.0035705566406,360.39255791444486,355.5884883670879,357.3875882844948,2809000
2021-07-09,362.6778564453125,363.2030056388887,359.7117948061831,361.61785340790294,2404800
2021-07-12,365.2258605957031,365.7218366228985,361.8416077050158,364.68127227000696,2648300
2021-07-13,373.1514892578125,376.00088735145056,365.2160234459409,365.2160234459409,5161000
2021-07-14,380.0465087890625,380.853686647516,372.4417109973347,372.4417109973347,4140500
2021-07-15,379.4921875,382.4776888226216,376.7886849802011,379.40466756003747,3773000
2021-07-16,376.4676818847656,382.6332216517339,374.7269286920594,382.3317542417687,2706500
2021-07-19,355.39404296875,368.1821927560824,353.37126103329643,367.598696825554,6814400
2021-07-20,364.087890625,366.2370695445666,355.21882156362085,356.90122768057284,3542200
2021-07-21,369.60198974609375,370.418872132712,364.7298390595778,365.68288334954957,2393100
2021-07-22,371.64422607421875,372.32494658591554,366.67482091743824,369.83539168142937,4180300
2021-07-23,382.438720703125,383.64459027323807,374.4935205662175,374.4935205662175,3720300
2021-07-26,381.99139404296875,382.07894364859635,377.5860462769484,380.8925129420961,2285800
2021-07-27,379.5310363769531,384.40318707296706,375.2715845693901,379.26847657718923,2783800
2021-07-28,372.88897705078125,380.95087144462593,371.809505218634,380.84388285542815,3372600
2021-07-29,378.1112365722656,383.8780555264676,376.8372857996601,376.8372857996601,3774000
2021-07-30,375.3201904296875,378.29598682068263,372.5388728833138,378.29598682068263,2533300
2021-08-02,364.93408203125,379.24903697763835,363.51423508654216,378.58772579773523,3430300
2021-08-03,357.4848937988281,366.3053251133474,349.67585350187744,366.29559078271086,6328500
2021-08-04,357.883544921875,359.0991488980746,353.4295553334941,357.17362151575514,3203200
2021-08-05,361.70538330078125,361.724822279661,356.9013141905835,358.0683058356358,2562400
2021-08-06,364.22412109375,365.167430957371,360.79125668491247,361.1997126752543,2038500
2021-08-09,360.4801025390625,364.1949958679258,358.7393788000181,363.89352841913774,2400800
2021-08-10,357.71820068359375,362.49309654278744,354.09082782625586,362.0457626006426,3225000
2021-08-11,354.21734619140625,359.7799524590633,353.7408388195267,358.4087472957006,3267700
2021-08-12,352.0194396972656,353.225309232286,348.0030797860286,352.5932011591811,3802900
2021-08-13,352.76837158203125,353.4977341697267,350.7067114159331,352.2918641883123,2304600
2021-08-16,353.5559997558594,353.79912056269325,346.8069637839245,350.58020345443947,2937300
2021-08-17,353.23504638671875,354.431181603503,349.88970215521937,352.0388814921056,2812800
2021-08-18,351.01788330078125,355.61771063433,350.66777385607526,351.2415354814462,2774500
2021-08-19,347.4780578613281,350.23020263424905,344.9593292964757,347.07933608696067,2727900
2021-08-20,345.2218322753906,348.4602182380631,343.60750645893904,347.52661291525885,4135900
2021-08-23,351.0762023925781,352.27233784673393,346.93341407587224,347.6336032325291,3537900
2021-08-24,351.8249816894531,356.0261163648633,351.5235142624422,353.04058572670147,3032000
2021-08-25,349.2187194824219,352.42790213845325,348.63522363282567,352.0000071606048,2340400
2021-08-26,343.15045166015625,348.3435387298215,342.1196217103457,348.1490301937744,3946300
2021-08-27,345.9415283203125,346.6903298494299,341.9737794544801,342.7614886291396,3698300
2021-08-30,343.335205078125,348.18791675480855,342.55723033671245,345.0370507930696,4032100
2021-08-31,336.702880859375,345.445495637882,335.1955140396728,343.2282350510306,6780400
2021-09-01,339.95098876953125,342.36272832045546,337.74343272065414,337.82124800297504,4499600
2021-09-02,331.88916015625,340.89436665866634,329.9928055031765,340.8651933414424,7412000
2021-09-03,330.8679504394531,334.6703630900669,329.603704546807,330.5761876898439,5171000
2021-09-07,335.2247009277344,338.424179207623,333.5812018211488,335.39977047213375,4764300
2021-09-08,341.3805236816406,342.3140992789718,335.5067166228559,335.5067166228559,5054500
2021-09-09,341.7403259277344,343.908974154445,340.29133545216996,341.0595758145012,3716200
2021-09-10,337.8309326171875,345.2315150752736,337.471088925619,345.16343413272034,3437700
2021-09-13,338.24908447265625,342.3043224461067,336.8292377554989,340.36909054249907,3234200
2021-09-14,336.2846984863281,340.2524467954999,335.7498445659735,340.05793827291615,3281900
2021-09-15,335.263671875,337.96717469894514,333.3284392920502,337.4517596537346,3833500
2021-09-16,336.7806396484375,338.112936824766,335.2052216829153,335.9054107429064,3771100
2021-09-17,333.6006774902344,336.47921973073824,331.39312141899586,334.5342531426993,5527500
2021-09-20,330.3428039550781,331.7237134099869,326.3847904076172,329.0105067865898,3956600
2021-09-21,328.096435546875,333.73682707437354,327.9991812768485,332.7838123904888,2967300
2021-09-22,333.9604797363281,334.40781372594495,329.2244910105898,329.9635581069494,3238800
2021-09-23,344.3271484375,345.02733755848703,335.7012268339256,336.22634641629094,4783200
2021-09-24,348.3045654296875,350.02584990567243,343.05316240252995,344.2882053078923,3306200
2021-09-27,346.952880859375,352.6127411893956,345.38719688071336,347.22517501556996,4158000
2021-09-28,341.51666259765625,346.2040390125854,339.4452685146612,345.71779738475874,3266900
2021-09-29,343.4713439941406,347.35154246762835,342.7128082847859,343.1017956294595,2808800
2021-09-30,338.11297607421875,346.2040440005063,337.8406819458261,344.97870558382226,4393300
2021-10-01,350.2690124511719,353.18646222273486,337.6072911266087,340.20380480371284,5227300
2021-10-04,334.728759765625,350.7260920544046,330.0024755511427,350.0259028995863,7901500
2021-10-05,333.76593017578125,338.97845523874935,333.4936360836894,337.9962377704255,4724100
2021-10-06,339.09515380859375,339.2799279823342,329.7787485608826,330.6540071429502,3712000
2021-10-07,344.6064147949219,348.4915161356781,339.8254853464147,339.8254853464147,3209200
2021-10-08,345.6287841796875,350.89656937564007,344.8985002198752,346.6414529242531,2336700
2021-10-11,338.02410888671875,345.55091321129913,337.7806808910182,344.6453681989727,2769800
2021-10-12,336.26171875,340.79922050890144,335.5606448791969,339.4847032867289,3042900
2021-10-13,333.3503723144531,340.3124084907237,328.1215426380196,337.14784389102454,3755700
2021-10-14,335.5216064453125,336.7192826835163,331.87018711395194,334.80106920616186,4083800
2021-10-15,346.6414489746094,347.23539899179735,338.59857887994457,339.8254654273558,4053600
2021-10-18,349.01727294921875,350.4778407035374,341.02310709420607,344.6550332254692,3280900
2021-10-19,352.58111572265625,352.7661233770386,348.20912870344324,348.9783694919103,2835400
2021-10-20,347.3912353515625,352.9608694336387,346.6414877749625,352.1916583136725,2796200
2021-10-21,346.8458557128906,347.01139978588066,338.1408702513699,345.2781940516698,2516300
2021-10-22,349.2412414550781,352.13316683107684,345.5703287717994,347.3035346719224,2774400
2021-10-25,351.3737487792969,354.7233209200519,349.35818723199225,352.93169414726094,2447900
2021-10-26,347.9267578125,357.693087389947,347.43015521379465,353.8274497964226,3320100
2021-10-27,326.8946228027344,341.88978298875554,325.0250825222826,338.8518060339393,9652700
2021-10-28,324.2753601074219,341.27636613487033,320.2247139478466,335.12252785496776,9505100
2021-10-29,326.6998596191406,329.26072709096655,322.4057858694174,322.5323731916497,5843700
2021-11-01,325.26849365234375,331.9384270402197,324.12926721111614,326.4369599813633,5126200
2021-11-02,319.8448791503906,326.9432171410753,318.1116732461941,326.320057009114,5375300
2021-11-03,320.7699279785156,320.91597883132874,314.8400256316544,319.86438297574324,3952500
2021-11-04,326.6122741699219,329.7281650775075,320.6726238422143,322.3669032665578,4819500
2021-11-05,339.62103271484375,340.9550134629006,332.0358075591091,333.43795528204,7201500
2021-11-08,340.4779052734375,343.8664041863915,338.5207345458979,338.86153970613947,3862200
2021-11-09,335.5898742675781,340.9939943314206,330.7213136958293,340.7992400224164,4247800
